year,player_id,guid,player_name,position,pos_abbr,school,team_name,team_abbr,weight,height,ovr_rk,pos_rk,grade,link,player_image
2004,7578,de6c27ddf39914c7eda4ee10917d720d,CARL DIGGS,Inside Linebacker,ILB,NA,NA,NA,245,73,222,11,49,http://insider.espn.com/nfl/draft/player/_/id/7578,NA
2004,8035,7b64ab6e6154f9db20b3639ee69eff3d,KENDRICK STARLING,Wide Receiver,WR,San Jose State,Spartans,SJSU,196,72.5,226,31,49,http://insider.espn.com/nfl/draft/player/_/id/8035,NA
2004,7293,bd78f96a3f49270e5e9dff7b8ab36670,MARCELL ALLMOND,Cornerback,CB,NA,NA,NA,201,72.625,227,23,48,http://insider.espn.com/nfl/draft/player/_/id/7293,NA
2004,7573,f5685ec29f076b757f19e9a6af421a06,GRANT WILEY,Inside Linebacker,ILB,West Virginia,Mountaineers,WVU,233,72,229,12,48,http://insider.espn.com/nfl/draft/player/_/id/7573,NA
2004,7597,NA,DANIEL YOUNG,Long Snapper,LS,NA,NA,NA,245,76.625,230,1,48,http://insider.espn.com/nfl/draft/player/_/id/7597,NA
2004,7611,0e53e42ea0a2ad22e03fddd8958f0389,SCOTT JACKSON,NA,NA,NA,NA,NA,300,76.625,231,6,48,http://insider.espn.com/nfl/draft/player/_/id/7611,NA
2004,7855,cc823da68d19b3a00a04bef06600c2e6,ROD RUTHERFORD,Quarterback,QB,Pittsburgh,Panthers,PITT,240,73.625,233,13,48,http://insider.espn.com/nfl/draft/player/_/id/7855,NA
2004,7896,f7647562c286a7550d692b798d9a46b7,CLARENCE FARMER,Running Back,RB,NA,NA,NA,227,71.5,234,19,48,http://insider.espn.com/nfl/draft/player/_/id/7896,NA
2004,8033,478d74b949797bd564b2e6af10bd7bc5,ANDRAE THURMAN,Wide Receiver,WR,Southern Oregon,Raiders,SOU,192,71.25,235,32,48,http://insider.espn.com/nfl/draft/player/_/id/8033,NA
2004,7292,34e2e4c345a6f93300a88b594d148cc3,RANDY JORDAN,Cornerback,CB,Kansas State,Wildcats,KSU,180,73,236,24,47,http://insider.espn.com/nfl/draft/player/_/id/7292,NA
2004,7418,NA,RASHARD BAKER,Safety,S,Tennessee,Volunteers,TENN,204,70.5,237,20,47,http://insider.espn.com/nfl/draft/player/_/id/7418,NA
2004,8119,NA,MONDRE DICKERSON,Wide Receiver,WR,Tennessee,Volunteers,TENN,280,75.5,238,23,47,http://insider.espn.com/nfl/draft/player/_/id/8119,NA
2004,7638,f24f4e9b04d756122d270531e779e7ce,SHANNON SNELL,Offensive Guard,OG,Florida,Gators,FLA,316,76.375,239,13,47,http://insider.espn.com/nfl/draft/player/_/id/7638,NA
2004,7710,NA,THOMAS HOLLOWELL,Outside Linebacker,OLB,Nebraska,Cornhuskers,NEB,235,72.375,240,18,47,http://insider.espn.com/nfl/draft/player/_/id/7710,NA
2004,7974,e1878651ec62ed0381ca2712873bf2a1,MATT BRANDT,Tight End,TE,Miami (OH),RedHawks,M-OH,255,76.875,243,14,47,http://insider.espn.com/nfl/draft/player/_/id/7974,NA
2004,7369,751742e58c2639cc90c61c68d456b59b,UYI OSUNDE,Defensive End,DE,Connecticut,Huskies,CONN,251,75.125,245,23,46,http://insider.espn.com/nfl/draft/player/_/id/7369,NA
2004,7548,1199794217b51152ec4cbc9292367846,MARK PIERCE,Fullback,FB,Arkansas,Razorbacks,ARK,240,72,247,5,46,http://insider.espn.com/nfl/draft/player/_/id/7548,NA
2004,7284,0874d1be4eed38a503b6c6f5f9f36324,LAWRENCE RICHARDSON,Cornerback,CB,Arkansas,Razorbacks,ARK,194,69.25,250,25,45,http://insider.espn.com/nfl/draft/player/_/id/7284,NA
2004,7849,44a1605b70c9613c163a1bbd8c199ee6,RYAN DINWIDDIE,Quarterback,QB,Boise State,Broncos,BSU,192,72.5,254,15,45,http://insider.espn.com/nfl/draft/player/_/id/7849,NA
2004,8019,90750f0a87c0e551f9c437d38f5af0b9,HUEY WHITTAKER,Wide Receiver,WR,NA,NA,NA,220,76,255,34,45,http://insider.espn.com/nfl/draft/player/_/id/8019,NA
2004,7372,05b188b487cf75b65f1a22cc7cfb80c1,GABE NYENHUIS,Defensive End,DE,Colorado,Buffaloes,COLO,265,75.5,257,24,44,http://insider.espn.com/nfl/draft/player/_/id/7372,NA
2004,7963,cc2f656a658030dcccbd88756e109e4d,BRETT PIERCE,Tight End,TE,NA,NA,NA,250,77.5,260,15,44,http://insider.espn.com/nfl/draft/player/_/id/7963,NA
2004,7303,NA,KELVIN MILLHOUSE,Cornerback,CB,Hawai'i,Rainbow Warriors,HAW,208,72.875,262,27,43,http://insider.espn.com/nfl/draft/player/_/id/7303,NA
2004,7519,5daf1fa2f157344a77e11ea4d8837991,JEREMY CAUDILL,Defensive Tackle,DT,Kentucky,Wildcats,UK,303,74.75,264,25,43,http://insider.espn.com/nfl/draft/player/_/id/7519,NA
2004,7648,7283f0414a798e018cd5a53fc7b51982,QUINN CHRISTENSEN,Offensive Guard,OG,NA,NA,NA,309,78,266,15,43,http://insider.espn.com/nfl/draft/player/_/id/7648,NA
2004,7762,3c4a7a723094d923e4a21ce6ef45fb29,ANTONIO HALL,Offensive Tackle,OT,Kentucky,Wildcats,UK,318,75.625,267,21,43,http://insider.espn.com/nfl/draft/player/_/id/7762,NA
2004,7822,a9cfbc202f469c084e2a2b19c0b34f95,KYLE LARSON,Punter,P,Nebraska,Cornhuskers,NEB,204,72.625,268,1,43,http://insider.espn.com/nfl/draft/player/_/id/7822,NA
2004,7965,NA,ROBERT BLIZZARD,Tight End,TE,NA,NA,NA,266,76,270,16,43,http://insider.espn.com/nfl/draft/player/_/id/7965,NA
2004,7297,7cba3fb7411fc06a0e0ee51acd15011d,STANFORD SAMUELS,Cornerback,CB,NA,NA,NA,187,69.875,271,28,42,http://insider.espn.com/nfl/draft/player/_/id/7297,NA
2004,7370,ad1b80670865fbb8eae91f78ee135557,KEVIN EMANUEL,Defensive End,DE,NA,NA,NA,259,75.875,272,25,42,http://insider.espn.com/nfl/draft/player/_/id/7370,NA
2004,7642,4b99d13d670cd115f402b574c83b002a,TYSON CLABO,Offensive Guard,OG,NA,NA,NA,317,78.75,273,16,42,http://insider.espn.com/nfl/draft/player/_/id/7642,NA
