season,player_id,guid,player_name,age,school_abbr,total_qbr,points_added,qb_plays,total_epa,pass,run,exp_sack,penalty,raw_qbr,sack
2004,115044,51e7789168761fe8fd8820b7387ba636,Darrell Hackney,23,UAB,42.2,-2.2,494,18.5,49.3,-13.2,-17.4,1,48.8,-18.7
2004,115709,3a78570ff2bce731a15ae10196d9ba5c,Michael Harrington,23,IDHO,42.2,8.3,441,22.9,37,2.7,-18.5,1.7,54.9,-19
2004,116872,eeb60db20230b30b5714609229b3490a,Cory Randolph,23,WAKE,41.8,-19.8,268,-6.4,5.5,0.6,-9.9,-1.7,31.7,-10.8
2004,157301,b130cdd36774fb7abee85b4caedaa549,Tony Eckert,22,SMU,41.7,-6.9,253,3.5,13.9,-5.4,-6.3,1.9,43,-6.8
2004,134493,df9243dbbed39e5e0a354e5fe1aed1a2,Perry Patterson,24,SYR,41.4,-17.4,401,1.5,7.7,1.9,-9.9,1.7,38.9,-9.9
2004,133314,93206b689f5c624192cda9a55ac974f3,Clint Marks,25,MTSU,41.2,8.2,475,26.8,42.5,-3,-10.8,-0.7,54.5,-12
2004,115704,29c74788e3ca5ba0cd8faac5a59b444c,Josh Swogger,25,WSU,40.7,-12.5,240,-0.9,11.1,-4.9,-7.1,0,36.8,-7.1
2004,134942,ed66227a54e3125346b4c27291b49c8c,Tyler Palko,25,PITT,40.2,-7.8,590,17.9,46.9,-5.6,-24.8,2,46.6,-25.6
2004,118122,d1346c03b84b0d1123ef09eb13944b90,Jay Davis,23,NCST,40,-26.9,393,-7.3,12.5,-0.6,-15.6,-2.2,32.9,-17
2004,116343,0e811ba4444be2e39e92b1126611ce8c,Charlie Whitehurst,34,CLEM,40,-37,471,-13.1,4.8,-6.7,-17.3,7.6,30.7,-19
2004,129234,a4e19ae284d8f1bf08e00853d69767d2,Dustin Almond,23,USM,39.4,-6.7,357,9.4,18.3,0.6,-8.1,-0.6,45.1,-8.8
2004,136721,5428f721b757954940c68b9f2a7b7403,Aaron Polanco,21,NAVY,39.2,9.5,767,38.9,18.6,28.6,-8.5,0.3,53.2,-8.6
2004,115823,a2b532c0fec3f8db001459556d5942e0,Ryan Cubit,26,WMU,37.2,10.3,364,20.3,22.6,-3.9,-3.9,5.7,57.3,-4.1
2004,105974,4732cda3fa1be7a78029e98fe920c4dd,James Kilian,24,TLSA,36.6,-19,537,5.7,25.3,4.7,-23.7,1,40.9,-25.6
2004,147493,56314292d8a425dcc17442a8f133edcc,Kevin Kolb,24,HOU,36.6,-17.3,524,5.9,25.2,0.4,-19,0,41.5,-19.7
2004,105712,2216588d178c977e251be43d624fa22c,Scott Hall,23,UNT,36.1,-4.2,332,9.2,24.7,-6.6,-9.1,0.3,46.7,-9.1
2004,136243,6f95b3dd0558e144260c3815d5b3f3e5,Steven Jyles,23,ULM,36.1,2.9,558,25.6,18.9,16.9,-6.9,-1.8,51.3,-8.4
2004,145353,20027819a83f141044f5cd99005a50a7,Adam Barmann,24,KU,36,-20.4,345,-3.2,0,2.5,-6.4,0.7,35.1,-6.4
2004,136670,a977d2943d1118f31c620135f9691eec,Wyatt Sexton,22,FSU,35.7,-22.4,330,-5.8,8.9,-4.1,-12,2.1,33.1,-12.7
2004,150641,92199c4887beefd83610dbc729776687,Nick Noce,23,ARST,35,-18.9,455,2.4,7.4,9.1,-10.4,-3,39.3,-11
2004,116236,356e2a2bf39965e4af89ecacdabdd0ea,Matt Bohnet,23,EMU,34.9,5.1,571,27.6,29.9,1.1,-5.6,2.9,52.3,-7.2
2004,136126,5d55454a8da855dce954efd07ca4a9ba,James Pinkney,25,ECU,34.5,-20.1,440,0.8,14,3.7,-18.2,2.1,38.3,-19.2
2004,147041,6cdd4e2083a46b6613e3e1ef8bd55876,Dale Rogers,23,SJSU,34.5,-16.1,294,-1.6,12.2,1.6,-14.1,0.7,36.1,-16.1
